"Species","Count","d18O.off.m","d18O.off.sd","d2H.off.m","d2H.off.sd","d18O.off.high","d2H.off.high","Vernacular"
"Bromus hordaceus",7,0.389332035289583,1.79482503755756,-0.312329338265727,4.59664956666085,0.285714285714286,0.142857142857143,"Soft brome"
"Abies balsamea",28,0.777165618382997,0.63135847306218,-0.285708110405792,0.0877915493846956,0.285714285714286,0,"Balm Of Gilead Fir"
"Tsuga canadensis",30,0.396019969790777,0.611056973965392,-0.278329166095112,0.103618442602215,0.266666666666667,0,"Black Hemlock"
"Acer rubrum",60,0.6834971486342,1.79601526397353,0.461186568183036,2.89671457452313,0.25,0.05,"Maple"
"Quercus alba",28,0.565654308065322,1.08780699095098,-0.235781602676038,2.69418005270888,0.25,0.0357142857142857,"Stave Oak"
"Acer saccharum",30,0.659120986191686,0.737267331839526,-0.134148729349028,0.625646286532812,0.233333333333333,0,"Sugar Maple"
"Sorghastrum nutans",15,0.692980826820583,0.361686485629722,0.031427059408556,1.97764252660183,0.2,0,"Indian Grass"
"Abies lesiocarpa",15,0.739860052868255,0.493187152776071,-0.252585261121233,0.0691556774977592,0.2,0,"Balsam Fir"
"Bouteloua curtipendula",14,0.507387951627178,0.40297566770265,-0.131786687231097,1.1795113459479,0.142857142857143,0,"tall grama grass"
"Tsuga heterophylia",15,0.502592028786235,0.68307164008192,-0.219257847345675,0.159350815856653,0.133333333333333,0,"Western Hemlock-spruce"
"Aristida beyrichiana",15,0.55526790744548,0.330219976378893,-0.314852436501965,0.0871186932427573,0.133333333333333,0,""
"Salix sp.",15,0.692642958169728,0.529084162700965,-0.169118709364705,0.399585082276465,0.133333333333333,0,NA
"Poa pratensis",28,0.369501801797774,4.65428155538657,-0.297645973242123,7.19455909295598,0.107142857142857,0.0357142857142857,"Kentucky bluegrass"
"Bromus inermis",29,0.348912631690203,0.732646573059148,-0.308061352526665,0.517959852398396,0.103448275862069,0,"Hungarian Brome"
"Schizachyrium scoparium",43,0.31119427387754,0.371812308608727,-0.270107920845121,0.258741933614033,0.0697674418604651,0,"Little bluestem"
"Taxus brevifolia",15,0.363647166436367,0.565699343885585,-0.294848572292913,0.154688571960137,0.0666666666666667,0,"Pacific Yew"
"Quercus germinata",15,0.604058225932463,0.476770642707075,-0.214277244453916,0.184020535734059,0.0666666666666667,0,"oak"
"Eriogonum effusum",29,0.259927871196649,0.298356571653737,-0.317547674829049,0.165300056357506,0.0344827586206897,0,"spreading wild buckwheat"
"Betula papyrifera",31,0.548094932212058,1.30630529495751,-0.174100166079309,0.467904443944631,0.032258064516129,0,"Canoe Birch"
"Smilax bona-nox",15,0.396982097306305,0.188886152750852,-0.167758517549552,0.0890247148671675,0,0,"catbrier"
"Thuja plicata",15,0.228707827915459,0.445527368259323,-0.274175056736911,0.0350503707676186,0,0,"Western Red-cedar"
"Poaceae sp.",19,0.32412207946378,0.229997400752327,-0.318825049061294,0.104082009209682,0,0,"grass"
"Festuca spp.",19,0.308062248364137,0.180193429255892,-0.320922410359015,0.415485885645436,0,0,"fescue"
"Carex rupestris",15,0.280950737841164,0.194257301245745,-0.319669110404022,0.489903400803239,0,0,"Curly sedge"
"Elymus elymoides",15,0.255548418893744,0.194977416684058,-0.320176434009759,0.0057359741894981,0,0,"bottlebrush squirreltail"
"Hesperostipa comata",17,0.296850349573838,0.130406311847683,-0.319252960235437,0.0367073124768951,0,0,"needle-and-thread grass"
"Bouteloua gracilis",19,0.218603878213133,0.206354622392622,-0.320047692220467,0.141070618212552,0,0,"Blue Grama"
